la_trees,seed,rmse_rescaled,count_trees
0.0,55,0.7432637,500
0.0001,55,0.7321541,500
0.0001778279410038,55,0.7285524,500
0.0003162277660168,55,0.73699397,500
0.0005623413251903,55,0.74215674,500
0.001,55,0.7265944,500
0.0011071731788899,55,0.72859997,499
0.0012258324480531,55,0.7270508,494
0.0013572088082974,55,0.73742425,474
0.0015026651907,55,0.7377876,413
0.0016637105959946,55,0.73820615,190
0.0017782794100389,55,0.73825365,44
0.0018420157493201,55,0.7384727,22
0.0020394304327401,55,0.7402363,7
0.0022580026753417,55,0.74205077,5
0.0025,55,0.7462788,4
0.0031622776601683,55,0.7503852,3
0.0056234132519034,55,0.7578784,1
0.01,55,0.7586435,1
0.10000000000000002,55,,0
0.05623413251903493,55,,0
0.0316227766016838,55,,0
0.01778279410038924,55,,0
0.0,28,0.7113861,500
0.0001,28,0.7172048,500
0.0001778279410038,28,0.7158083,500
0.0003162277660168,28,0.7222474,500
0.0005623413251903,28,0.71630675,500
0.0011071731788899,28,0.71514803,500
0.001,28,0.7155111,499
0.0012258324480531,28,0.71537405,492
0.0013572088082974,28,0.71658176,470
0.0015026651907,28,0.715672,410
0.0016637105959946,28,0.71737945,171
0.0017782794100389,28,0.7146144,19
0.0018420157493201,28,0.7159518,12
0.0020394304327401,28,0.716928,4
0.0022580026753417,28,0.71744305,4
0.0025,28,0.7202525,3
0.0031622776601683,28,0.727836,2
0.0056234132519034,28,0.7424432,1
0.01,28,0.7349383,1
0.10000000000000002,28,,0
0.05623413251903493,28,,0
0.0316227766016838,28,,0
0.01778279410038924,28,,0
0.0,37,0.7076458,500
0.0001,37,0.70773154,500
0.0001778279410038,37,0.71118057,500
0.0003162277660168,37,0.7014224,500
0.0005623413251903,37,0.705581,500
0.001,37,0.7019522,497
0.0011071731788899,37,0.70412546,496
0.0012258324480531,37,0.7089663,496
0.0013572088082974,37,0.7055034,477
0.0015026651907,37,0.71272284,425
0.0016637105959946,37,0.7083927,178
0.0017782794100389,37,0.7082604,31
0.0018420157493201,37,0.7084101,16
0.0020394304327401,37,0.70863396,5
0.0022580026753417,37,0.7074975,4
0.0025,37,0.70537126,4
0.0031622776601683,37,0.7147127,2
0.0056234132519034,37,0.7353961,1
0.10000000000000002,37,,0
0.05623413251903493,37,,0
0.0316227766016838,37,,0
0.01778279410038924,37,,0
0.010000000000000004,37,,0
0.0,46,0.7138204,500
0.0001,46,0.7183333,500
0.0001778279410038,46,0.7133963,500
0.0003162277660168,46,0.7179779,500
0.0005623413251903,46,0.7150733,500
0.001,46,0.7179746,500
0.0011071731788899,46,0.71589893,496
0.0012258324480531,46,0.7230185,495
0.0013572088082974,46,0.7183886,479
0.0015026651907,46,0.7161958,404
0.0016637105959946,46,0.71887845,189
0.0017782794100389,46,0.7174659,39
0.0018420157493201,46,0.7176843,19
0.0020394304327401,46,0.71977407,4
0.0022580026753417,46,0.7201053,3
0.0025,46,0.72071683,2
0.0031622776601683,46,0.72122604,2
0.0056234132519034,46,0.7392811,1
0.01,46,0.7362221,1
0.10000000000000002,46,,0
0.05623413251903493,46,,0
0.0316227766016838,46,,0
0.01778279410038924,46,,0
